0.05,0.0,8.53e-12
0.05,0.01,1.24e-11
0.05,0.02,1.81e-11
0.05,0.03,2.64e-11
0.05,0.04,3.85e-11
0.05,0.05,5.62e-11
0.05,0.06,8.19e-11
0.05,0.07,1.19e-10
0.05,0.08,1.74e-10
0.05,0.09,2.54e-10
0.05,0.1,3.7e-10
0.05,0.11,5.39e-10
0.05,0.12,7.85e-10
0.05,0.13,1.14e-09
0.05,0.14,1.67e-09
0.05,0.15,2.43e-09
0.05,0.16,3.54e-09
0.05,0.17,5.15e-09
0.05,0.18,7.5e-09
0.05,0.19,1.09e-08
0.05,0.2,1.58e-08
0.05,0.21,2.3e-08
0.05,0.22,3.32e-08
0.05,0.23,4.79e-08
0.05,0.24,6.88e-08
0.05,0.25,9.82e-08
0.05,0.26,1.39e-07
0.05,0.27,1.94e-07
0.05,0.28,2.68e-07
0.05,0.29,3.65e-07
0.05,0.3,4.86e-07
0.05,0.31,6.36e-07
0.05,0.32,8.13e-07
0.05,0.33,1.02e-06
0.05,0.34,1.24e-06
0.05,0.35,1.49e-06
0.05,0.36,1.75e-06
0.05,0.37,2.03e-06
0.05,0.38,2.31e-06
0.05,0.39,2.59e-06
0.05,0.4,2.87e-06
0.05,0.41,3.15e-06
0.05,0.42,3.43e-06
0.05,0.43,3.69e-06
0.05,0.44,3.96e-06
0.05,0.45,4.21e-06
0.05,0.46,4.46e-06
0.05,0.47,4.7e-06
0.05,0.48,4.93e-06
0.05,0.49,5.15e-06
0.05,0.5,5.37e-06
0.05,0.51,5.57e-06
0.05,0.52,5.77e-06
0.05,0.53,5.97e-06
0.05,0.54,6.15e-06
0.05,0.55,6.33e-06
0.05,0.56,6.5e-06
0.05,0.57,6.66e-06
0.05,0.58,6.82e-06
0.05,0.59,6.97e-06
0.05,0.6,7.11e-06
0.05,0.61,7.252e-06
0.05,0.62,7.385e-06
0.05,0.63,7.514e-06
0.05,0.64,7.637e-06
0.05,0.65,7.756e-06
0.05,0.66,7.87e-06
0.05,0.67,7.979e-06
0.05,0.68,8.085e-06
0.05,0.69,8.186e-06
0.05,0.7,8.284e-06
0.05,0.71,8.377e-06
0.05,0.72,8.468e-06
0.05,0.73,8.555e-06
0.05,0.74,8.638e-06
0.05,0.75,8.719e-06
0.05,0.76,8.796e-06
0.05,0.77,8.871e-06
0.05,0.78,8.943e-06
0.05,0.79,9.013e-06
0.05,0.8,9.08e-06
0.15,0.0,1.1e-11
0.15,0.01,1.6e-11
0.15,0.02,2.34e-11
0.15,0.03,3.4e-11
0.15,0.04,4.95e-11
0.15,0.05,7.22e-11
0.15,0.06,1.05e-10
0.15,0.07,1.53e-10
0.15,0.08,2.23e-10
0.15,0.09,3.25e-10
0.15,0.1,4.73e-10
0.15,0.11,6.89e-10
0.15,0.12,1e-09
0.15,0.13,1.46e-09
0.15,0.14,2.13e-09
0.15,0.15,3.1e-09
0.15,0.16,4.51e-09
0.15,0.17,6.57e-09
0.15,0.18,9.55e-09
0.15,0.19,1.39e-08
0.15,0.2,2.02e-08
0.15,0.21,2.92e-08
0.15,0.22,4.23e-08
0.15,0.23,6.1e-08
0.15,0.24,8.76e-08
0.15,0.25,1.25e-07
0.15,0.26,1.78e-07
0.15,0.27,2.5e-07
0.15,0.28,3.47e-07
0.15,0.29,4.75e-07
0.15,0.3,6.4e-07
0.15,0.31,8.48e-07
0.15,0.32,1.1e-06
0.15,0.33,1.41e-06
0.15,0.34,1.76e-06
0.15,0.35,2.17e-06
0.15,0.36,2.62e-06
0.15,0.37,3.13e-06
0.15,0.38,3.67e-06
0.15,0.39,4.25e-06
0.15,0.4,4.86e-06
0.15,0.41,5.5e-06
0.15,0.42,6.16e-06
0.15,0.43,6.83e-06
